0	Grundschema und Vorläufer	bestanden	Grundschema eingespielt; Vorläufer nicht verlangt (wie n2_lauf.sh)	`lauf0_grundschema.log`
1	Migration zweimal, Schema und Daten unverändert	bestanden	beide diffs leer, 3 Migration(en) je zweimal	`schema_diff.txt` · `daten_diff.txt`
2	Prüffälle	bestanden	SUMME: 111 von 111 bestanden, 0 gescheitert	`pruefung_ausgabe.log` · `summe.txt`
3	Gegentest-Meldungen einzeln festgehalten	bestanden	111 Meldungen bei 111 Fällen -- zu LESEN, nicht zu zählen	`gegentest_meldungen.txt`
4	Eingefrorene Prüffälle T0 bis T23	bestanden	T0 bis T21 je genau einmal ohne Abweichung; T22 und T23 mit Ersatz-Setup	`t0_t23_ergebnis.txt` · `t22_t23_ergebnis.txt`
5	Objektzahlen gemessen	bestanden	tabellen 57 sichten 12 trigger 27 funktionen 29 davon_mit_suchpfad 29 enums 44 rollen 6 	`objektzahlen.txt`
